"click_page_details_name","click_page_details_record","click_page_details_current_streak","click_page_details_age","click_page_details_dob","click_page_details_class","click_page_details_height","click_page_details_reach","click_page_details_last_fight","click_page_details_gym","click_page_details_gym_url","click_page_details_opponent_name","click_page_details_opponent_result","click_page_details_opponent_result_url","click_page_details_opponent_fight_date"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Dimitris Margaritopoulos","Draw · Decision","https://www.tapology.com/fightcenter/bouts/323184-submissionism-dimitris-the-greek-machida-margaritopoulos-vs-john-greek-emperor-palaiologos","2017.09.30"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Paweł Kiełek","Cancelled Bout","https://www.tapology.com/fightcenter/bouts/326841-spartan-fight-8-pawe-kieek-vs-john-greek-emperor-palaiologos","2017.09.23"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Damian Majewski","Win · Rear Naked Choke · 1:14 · R2","https://www.tapology.com/fightcenter/bouts/328896-spartan-fight-8-damian-majewski-vs-john-greek-emperor-palaiologos","2017.09.23"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Leonardo Sinis","Loss · Rear Naked Choke · 1:26 · R2","https://www.tapology.com/fightcenter/bouts/305571-mma-challenge-pro-6-john-greek-emperor-palaiologos-vs-leonardo-sinis","2017.04.23"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Paweł Hadaś","Cancelled Bout","https://www.tapology.com/fightcenter/bouts/296783-spartan-fight-7-pawe-hada-vs-john-greek-emperor-palaiologos","2017.04.01"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Jonatan Westin","Loss · KO/TKO · 4:49 · R1","https://www.tapology.com/fightcenter/bouts/286780-battle-of-botnia-2016-jonothan-westin-vs-john-greek-emperor-palaiologos","2016.12.10"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Niko Puhakka","Win · KO/TKO · 1:03 · R1","https://www.tapology.com/fightcenter/bouts/273891-carelia-fight-12-niko-puhakka-vs-john-greek-emperor-palaiologos","2016.09.10"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Maksim Grabovich","Loss · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/282013-sommafsteel-battle-3-maksim-grabovich-vs-john-greek-emperor-palaiologos","2016.07.29"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Alexandros Dimaras","Win · Punches · 4:35 · R1","https://www.tapology.com/fightcenter/bouts/244791-final-fight-championship-22-alexandros-dimaras-vs-john-paleologus","2016.02.19"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Nikos Kazazidis","Win · Punches · 0:57 · R1","https://www.tapology.com/fightcenter/bouts/241673-cage-survivor-fight-night-john-paleologus-vs-nikos-kazazidis","2016.01.17"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Sam Liera","Loss · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/212989-kotc-sam-liera-vs-john-paleologus","2015.08.29"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Daniel Madrid","Loss · Rear Naked Choke · 0:56 · R2","https://www.tapology.com/fightcenter/bouts/204950-kotc-daniel-blackout-madrid-vs-john-paleologus","2015.06.14"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Leon Klee","Win · Rear Naked Choke · 2:07 · R1","https://www.tapology.com/fightcenter/bouts/189462-kotc-john-paleologus-vs-leon-klee","2015.03.15"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Robert Oganesyan","","","2014.12.28"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Agelos Giatras","","","2014.11.08"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Christos Plasaris","","","2014.07.06"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Adam Mutaliev","","","2014.03.15"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Christos Pappas","","","2013.12.21"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Stamatis Moroulis","","","2013.11.03"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Vladimiros Theofanidis","","","2013.10.20"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Stavros Paschalis","","","2013.09.21"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Haris Tountas","","","2013.07.20"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Alexis Nikolakopoulos","","","2013.06.01"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Angelo Papounaisvili","","","2013.02.15"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Pavlos Skalidis","","","2012.02.19"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Corey Davis","Win · KO/TKO","https://www.tapology.com/fightcenter/bouts/593071-global-legion-fc-19-giannis-bachar-vs-corey-davis","2021.09.25"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Denis Maher","Cancelled Bout","https://www.tapology.com/fightcenter/bouts/567535-brave-cf-51-denis-maher-vs-giannis-bachar","2021.06.04"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Tahar Hadbi","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/517475-brave-cf-39-giannis-bachar-vs-tahar-hadbi","2020.08.15"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Igor Kolisnichenko","Win · KO/TKO","https://www.tapology.com/fightcenter/bouts/435096-efl-fight-night-1-giannis-bachar-vs-aleksey-sotnikov","2019.06.01"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Gregg Ellis","Win · Punches · 3:52 · R1","https://www.tapology.com/fightcenter/bouts/411806-titan-fc-53-the-greatest-gregg-ellis-vs-giannis-basar","2019.03.15"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Konstatinos Nastoulis","","","2017.03.11"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","David Jacobsson","Win · Punches","https://www.tapology.com/fightcenter/bouts/279704-on-top-ioannis-bachar-vs-david-jacobsson","2016.10.22"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Claudio Vecani","Loss · Rear Naked Choke · 1:59 · R2","https://www.tapology.com/fightcenter/bouts/257206-cage-survivor-5-claudio-vecani-vs-giannis-basar","2016.06.11"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Giannis Anagnostopoulos","","","2016.04.23"
"Giannis Bachar","7-2-0 (Win-Loss-Draw)","6 Wins","","","Welterweight","6'1"" (185cm)","72.0"" (183cm)","September 25, 2021","MMA MASTERS","https://www.tapology.com/gyms/181-mma-masters","Giorgos Koulalis","Win · Punches · 2:07 · R3","https://www.tapology.com/fightcenter/bouts/240913-cage-survivor-fight-night-giannis-basar-vs-giorgos-koulalis","2016.01.17"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","John Mitchell","Loss · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/605673-uae-warriors-24-john-mitchell-vs-konstantinos-the-gambler-ntelis","2021.10.29"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Dimitrios Saltsidis","Win · Rear Naked Choke","https://www.tapology.com/fightcenter/bouts/597723-subquest-3-konstantinos-the-gambler-ntelis-vs-dimitrios-saltsidis","2021.09.04"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Selvin Ramcilovic","Win · Rear Naked Choke · 3:34 · R1","https://www.tapology.com/fightcenter/bouts/581754-quest-mma-1-konstantinos-the-gambler-ntelis-vs-selvin-ramcilovic","2021.07.08"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Giannis Efstratiou","Win · Submission","https://www.tapology.com/fightcenter/bouts/576693-subquest-2-konstantinos-the-gambler-ntelis-vs-giannis-efstratiou","2021.06.19"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Roberto Aliaj","Win · Kneebar · 2:36 · R2","https://www.tapology.com/fightcenter/bouts/481888-mma-challenge-pro-10-konstantinos-the-gambler-ntelis-vs-roberto-aliaj","2020.02.22"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Thomas Kartas","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/419838-cage-survivor-13-konstantinos-delis-vs-thomas-kartas","2019.04.07"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Jurgen Bajlozi","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/391842-cage-survivor-12-jurgen-bajlozi-vs-konstantinos-delis","2018.11.04"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Konstantinos Tsiogkas","Win · Rear Naked Choke · 3:19 · R1","https://www.tapology.com/fightcenter/bouts/373988-corinthian-pro-mma-2-konstantinos-delis-vs-konstantinos-kostas-tsiogkas","2018.06.30"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Cleovoulos Loukaidis","Loss · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/352083-cage-survivor-konstantinos-delis-vs-cleovoulos-the-islander-loukaidis","2018.03.03"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Simeon Michev","Win · Rear Naked Choke · 1:11 · R1","https://www.tapology.com/fightcenter/bouts/345892-spartacus-fighting-championship-6-simeon-michev-vs-konstantinos-delis","2018.01.13"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Georgios Kartasis","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/367281-1st-pmmaf-amateur-selections-2018-konstantinos-delis-vs-giorgos-kartasis","2018.05.20"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Diamantis Chondronikolas","Win · Kimura · 2:53 · R2","https://www.tapology.com/fightcenter/bouts/290625-cage-survivor-konstantinos-delis-vs-diamantis-chondronikolas","2017.02.25"
"Konstantinos Ntelis","6-2-0 (Win-Loss-Draw)","1 Loss","20","2001.06.14","Lightweight","5'9"" (176cm)","N/A","October 29, 2021","Black Belt Academy","https://www.tapology.com/gyms/4160-black-belt-academy","Denis Mpornouri","Win · Rear Naked Choke · 0:15 · R3","https://www.tapology.com/fightcenter/bouts/231734-cage-survivor-fight-night-konstantinos-delis-vs-denis-mpornouri","2015.11.21"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Matthew Johnson","Win · KO/TKO · 0:27 · R1","https://www.tapology.com/fightcenter/bouts/605938-bmf-mma-1-matthew-johnson-vs-andreas-tricomitis","2021.10.16"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Robert Oganesyan","Win · Punches · 1:37 · R1","https://www.tapology.com/fightcenter/bouts/409735-mma-challenge-pro-9-robert-direwolf-oganesyan-vs-andreas-tricomitis","2019.02.02"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Tom Briggs","Win · Punches · 0:42 · R1","https://www.tapology.com/fightcenter/bouts/395437-almighty-fighting-championship-10-tom-briggs-vs-andreas-tricomitis","2018.11.17"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Robert Oganesyan","No Contest · Unanimous · 5:00 · R3","https://www.tapology.com/fightcenter/bouts/366032-mma-challenge-pro-8-robert-direwolf-oganesyan-vs-andreas-tricomitis","2018.05.05"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Mark Kinsella","Win · Decision · Split","https://www.tapology.com/fightcenter/bouts/351904-cage-warriors-90-andreas-tricomitis-vs-mark-kinny-kinsella","2018.02.24"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Gary Kono","Win · Arm Triangle Choke · 1:59 · R1","https://www.tapology.com/fightcenter/bouts/350027-prestige-fight-3-andreas-tricomitis-vs-gary-the-shepherd-kono","2017.11.26"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Rastislav Toth","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/315113-almighty-fighting-championship-5-rastislav-toth-vs-andreas-tricomitis","2017.06.17"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Dave Garvey","","","2012.04.27"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Makinde Adeyemi","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/285640-shinobi-war-9-andreas-tricomitis-vs-makinde-adeyemi","2016.11.26"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Amadeusz Arczewski","Cancelled Bout","https://www.tapology.com/fightcenter/bouts/246527-full-contact-contender-15-amadeusz-arczewski-vs-andreas-tricomitis","2016.03.05"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Paul Bentley","Win · Armbar · 1:50 · R1","https://www.tapology.com/fightcenter/bouts/234503-shinobi-war-6-andreas-tricomitis-vs-paul-bentley","2015.11.28"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Chris Senior","Loss · Armbar · 0:35 · R3","https://www.tapology.com/fightcenter/bouts/190827-full-contact-contender-12-andreas-tricomitis-vs-chris-senior","2015.03.28"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","James Duckett","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/131023-full-contact-contender-9-andreas-tricomitis-vs-james-duckett","2014.03.22"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Garwain Wyatt","Win · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/282869-fight-ikon-10-andreas-tricomitis-vs-garwain-wyatt","2013.07.20"
"Andreas Tricomitis","6-1-0, 1 NC (Win-Loss-Draw)","8 Wins","30","1991.08.26","Middleweight","5'10"" (177cm)","N/A","October 16, 2021","HAMMA","https://www.tapology.com/gyms/515-hamma","Filippos Filippou","Win · KO/TKO · 2:04 · R3","https://www.tapology.com/fightcenter/bouts/282870-night-of-warriors-2-andreas-tricomitis-vs-filippos-filippou","2012.12.09"
